meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
75,450,2,Piso,https://www.indomio.es/anuncios/90675406/,Ávila,Alquiler,,https://media.indomio.es/text/tel_90675406_c4308.jpg?k=daf1a817c349caa6da3cb758e62c4ec0,5, segunda planta
60,440,1,Piso ,https://www.indomio.es/anuncios/91273573/,Ávila,Alquiler,,https://media.indomio.es/text/tel_91273573_ceef5.jpg?k=cc9600d03ec4f547c55b6de4f1873a30,3,Avenida de los Derechos Humanos -  San Nicolás-La Toledana-Valle Amblés
130,780,2,Piso ,https://www.indomio.es/anuncios/95098333/,Ávila,Alquiler,,,5,Calle San Miguel -  Centro
80,440,2,Piso ,https://www.indomio.es/anuncios/95332675/,Ávila,Alquiler,MA CA,https://media.indomio.es/text/tel_95332675_8397a.jpg?k=f65e278553406ed123163a87308fc992,5,Calle Agustín Rodríguez Sahagún -  Santo Tomás-Universidad
