meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
93,800,1,Piso,https://www.indomio.es/anuncios/95851077/,Gijón,Alquiler,,https://media.indomio.es/text/tel_95851077_4a190.jpg?k=0252a0f1bdcb0c8069a9cfcc574e9176,5,El Natahoyo-Moreda - Calle Vicente Jove -  El Natahoyo-Moreda
90,700,2,Edificio ,https://www.indomio.es/anuncios/93010233/,Gijón,Alquiler,,,5,La Calzada - Calle Bolivia
126,750,2,Piso ,https://www.indomio.es/anuncios/87310961/,Gijón,Alquiler,,,5,El Natahoyo-Moreda - Calle Lealtad -  El Natahoyo-Moreda
120,450,2,Casa rústica ,https://www.indomio.es/anuncios/93586697/,Lena,Alquiler,,,5,Telledo
80,1000,1,Piso ,https://www.indomio.es/anuncios/95221287/,Lena,Alquiler,,,5, cuarta planta
78,750,1,Piso ,https://www.indomio.es/anuncios/95938971/,Gijón,Alquiler,,,3,Calle Rosario Trabanco -  El Llano
95,600,2,Piso ,https://www.indomio.es/anuncios/95485469/,Gozón,Alquiler,,https://media.indomio.es/text/tel_95485469_79652.jpg?k=c604793ce1d899fe2946ce8d03c27c42,5,Avenida del Gayo -  Luanco - Aramar - Antromero
88,620,1,Piso ,https://www.indomio.es/anuncios/91216535/,Siero,Alquiler,,https://media.indomio.es/text/tel_91216535_2b6e0.jpg?k=402bea0461e8f5d3b2a68d194816b760,3,Camino de los Alerces -  Boves - Valbona-Viella
100,1200,2,Piso ,https://www.indomio.es/anuncios/92777299/,Oviedo,Alquiler,,,5,Calle Asturias -  Centro
59,550,,Piso ,https://www.indomio.es/anuncios/90558723/,Gijón,Alquiler,,,1,Calle Argandona -  El Llano
70,1000,2,Piso ,https://www.indomio.es/anuncios/95180083/,Oviedo,Alquiler,,https://media.indomio.es/text/tel_95180083_f17ef.jpg?k=e0763da3c684395b387aed0862fc162b,4,Calle Alcalde García Conde -  Centro
65,580,1,Piso ,https://www.indomio.es/anuncios/95022607/,Gijón,Alquiler,,,3,Pumarín - Calle Guipúzcoa -  Pumarín
135,1200,2,Piso,https://www.indomio.es/anuncios/94888323/,Oviedo,Alquiler,,,7,Calle Ángel Muñiz Toca -  Montecerrado-Buenavista-El Cristo
60,900,1,Piso ,https://www.indomio.es/anuncios/95053809/,Oviedo,Alquiler,,,4,Calle San Mateo -  Otero-Villafría-San Lázaro
80,950,2,Piso ,https://www.indomio.es/anuncios/95983239/,Oviedo,Alquiler,,,6,Avenida de Julián Clavería -  Montecerrado-Buenavista-El Cristo
70,600,1,Piso ,https://www.indomio.es/anuncios/90746009/,Oviedo,Alquiler,,https://media.indomio.es/text/tel_90746009_af700.jpg?k=9e88a38484648eacc4ed40977acd4d28,4,Calle Silla del Rey -  Masip-La Ería-La Argañosa-Parque del Oeste
100,800,2,Piso ,https://www.indomio.es/anuncios/91085163/,Oviedo,Alquiler,,,5,Calle del Padre Suárez -  Centro
90,650,2,Piso,https://www.indomio.es/anuncios/95896965/,Oviedo,Alquiler,,https://media.indomio.es/text/tel_95896965_58eff.jpg?k=2f0d6177cbef7647579228b24675ec32,5,Calle Fuertes Acevedo -  Montecerrado-Buenavista-El Cristo
55,740,1,Piso ,https://www.indomio.es/anuncios/90217513/,Oviedo,Alquiler,,,2,Calle Uría -  Centro
95,690,2,Piso ,https://www.indomio.es/anuncios/93925909/,Oviedo,Alquiler,,https://media.indomio.es/text/tel_93925909_e9c49.jpg?k=b4d83b0d1ce05b250e32c3a07ac3ec29,6,Calle El Mayorazu -  Tenderina-Mercadín-Fozaneldi
65,750,1,Piso,https://www.indomio.es/anuncios/95874953/,Oviedo,Alquiler,,,4,Calle Ramiro I -  Ciudad Naranco-Vallobín
56,500,2,Piso ,https://www.indomio.es/anuncios/92554539/,Oviedo,Alquiler,,,5,Calle Ramón y Cajal -  Centro
57,550,1,Piso ,https://www.indomio.es/anuncios/92063565/,Oviedo,Alquiler,,,2,Calle del Póstigo Bajo -  Centro
