meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
77,950,2,Piso ,https://www.indomio.es/anuncios/94283051/,Santander,Alquiler,,,4,Avenida Pedro San Martín -  San Fernando-Numancia
61,595,1,Piso ,https://www.indomio.es/anuncios/93923379/,Miengo,Alquiler,,,4,Calle Las Pedregueras
84,800,2,Piso ,https://www.indomio.es/anuncios/94286771/,Santander,Alquiler,,,4,Calle Isabel II -  Centro-Ayuntamiento
50,800,1,Piso ,https://www.indomio.es/anuncios/95384681/,Santander,Alquiler,,https://media.indomio.es/text/tel_95384681_dfd44.jpg?k=6b1b0e6b70b378cd53eabc31be47e762,3,Calle Universidad -  Los Castros
65,500,1,Piso ,https://www.indomio.es/anuncios/90333297/,Santander,Alquiler,,,3,Calle Prado San Roque -  General Dávila
100,690,2,Piso ,https://www.indomio.es/anuncios/93976999/,Santander,Alquiler,,,6,Avenida de los Castros -  Los Castros
110,720,2,Piso ,https://www.indomio.es/anuncios/86646167/,Santander,Alquiler,,,5,Calle Francisco Tomás y Valiente -  Peñacastillo-Nueva Montaña
75,625,1,Piso ,https://www.indomio.es/anuncios/91155267/,Santander,Alquiler,,,5,Calle Galicia -  General Dávila
84,800,2,Piso ,https://www.indomio.es/anuncios/92564587/,Santander,Alquiler,,https://media.indomio.es/text/tel_92564587_c1a92.jpg?k=ff8a866521a2f6b738499e725f8460d3,4,Calle Isabel II -  Centro-Ayuntamiento
