meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
55,850,1,Apartamento en villa ,https://www.indomio.es/anuncios/95426795/,Getxo,Alquiler,,,3,Calle Kaioa -  Andra Mari
74,340,1,Piso ,https://www.indomio.es/anuncios/94223149/,Barakaldo,Alquiler,,https://media.indomio.es/text/tel_94223149_2ade3.jpg?k=6ef62ac671ba9254a96252c309ecd0d2,3,Calle Goya -  Done Bikendi
78,900,1,Piso ,https://www.indomio.es/anuncios/91354293/,Getxo,Alquiler,,,3,Avenida de Algorta -  Algorta
95,1150,2,Dúplex ,https://www.indomio.es/anuncios/93988475/,Getxo,Alquiler,,https://media.indomio.es/text/tel_93988475_4497f.jpg?k=4e355e5b59546c275adeb4bc35f6c85e,6,Calle Illeta -  Algorta
70,800,1,Piso ,https://www.indomio.es/anuncios/95556957/,Barakaldo,Alquiler,,,5, primera planta
67,1200,1,Piso ,https://www.indomio.es/anuncios/95874933/,Bilbao,Alquiler,,,4,Casco Viejo - Zazpi Kaleak - Calle Somera -  Casco Viejo - Zazpi Kaleak
85,800,1,Piso ,https://www.indomio.es/anuncios/94390915/,Bilbao,Alquiler,David  Álvarez ,,3,Abando Ensanche - Calle Ledesma -  Abando Ensanche
65,850,1,Piso,https://www.indomio.es/anuncios/95936727/,Bilbao,Alquiler,,,4,Iralabarri - Calle Eskurtze -  Iralabarri
65,750,1,Piso ,https://www.indomio.es/anuncios/94433685/,Bilbao,Alquiler,,,4,Calle Egaña -  Indautxu
