meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
240,495.000,3,Casa pareada ,https://www.indomio.es/anuncios/93377467/,Alegría - Dulantzi,Venta,,,6,Calle Dulantzi
93,196.000,1,Piso ,https://www.indomio.es/anuncios/91656473/,Vitoria - Gasteiz,Venta,,,4,Calle Paula Montal -  Sansomendi
75,239.000,1,Ático ,https://www.indomio.es/anuncios/95424071/,Vitoria - Gasteiz,Venta,,https://media.indomio.es/text/tel_95424071_00b22.jpg?k=bfc57e617468f480e9a8ed95d2fcc26e,3,Calle de Pintor Aurelio Vera-Fajardo -  San Martín
415,575.000,3,Casa unifamiliar ,https://www.indomio.es/anuncios/94547999/,Vitoria - Gasteiz,Venta,,,8,Oreitia -  Zona Rural Este
578,190.000,,Edificio ,https://www.indomio.es/anuncios/95378955/,Ayala - Aiara,Venta | Alquiler con opción a compra,,https://media.indomio.es/text/tel_95378955_41129.jpg?k=cd16a7188d800b4e0f8cafe41738b88f,,Entidad Quejana
77,145.000,1,Piso ,https://www.indomio.es/anuncios/88580445/,Llodio - Laudio,Venta,,,5,Calle Ugarte
