meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
130,650,2,Piso ,https://www.indomio.es/anuncios/91765595/,Talavera de la Reina,Alquiler,,https://media.indomio.es/text/tel_91765595_0c7ca.jpg?k=1de67677230c8abf7752bf494916c630,6,Calle Santa Teresa de Jesús -  El Pilar-La Estación
250,1100,3,Chalet ,https://www.indomio.es/anuncios/90625361/,Seseña,Alquiler,,,7,Calle Luis de Góngora -  Los Robles
88,600,1,Piso ,https://www.indomio.es/anuncios/95863267/,Talavera de la Reina,Alquiler,,,5,Plaza de los Tinajones -  Tres Olivos-La Piedad
60,580,1,Piso ,https://www.indomio.es/anuncios/90766335/,Toledo,Alquiler,,,3,Santa Teresa-La Reconquista - Carretera de la Peraleda -  Santa Teresa-La Reconquista
50,600,1,Piso ,https://www.indomio.es/anuncios/93600547/,Toledo,Alquiler,,https://media.indomio.es/text/tel_93600547_feb61.jpg?k=f6e0df8eccbd5b73d3fdd076a9d5efad,4,Casco Histórico - Calle del Comercio -  Casco Histórico
220,850,3,Casa pareada ,https://www.indomio.es/anuncios/95463685/,Talavera de la Reina,Alquiler,,https://media.indomio.es/text/tel_95463685_0954a.jpg?k=d45a9e403ff4574fabc4d0d5f6a94851,6,Calle de los Toros -  Patrocinio de San José-Talavera la Nueva-Gamonal
60,470,1,Piso,https://www.indomio.es/anuncios/95053611/,Ocaña,Alquiler,,https://media.indomio.es/text/tel_95053611_ce9bc.jpg?k=e6de53a05de827994515694854171266,2, planta baja
80,900,1,Piso ,https://www.indomio.es/anuncios/95946999/,Toledo,Alquiler,,,4,Buenavista - Ronda de Buenavista -  Buenavista
60,550,2,Piso ,https://www.indomio.es/anuncios/95442401/,Ocaña,Alquiler,,,4,Calle Doctor Manzanares -  Puerta de Murcia - Colegios
240,1300,3,Casa adosada ,https://www.indomio.es/anuncios/91163569/,Toledo,Alquiler,,https://media.indomio.es/text/tel_91163569_ffbdd.jpg?k=e93931336f0aeb7058d089fba33e814e,8,Calle Ródeno -  Vistahermosa-La Legua-Valparaíso
