meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
90,171000,2,Piso ,https://www.indomio.es/anuncios/92294379/,A Coruña,Venta | Alquiler con opción a compra,,https://media.indomio.es/text/tel_92294379_70710.jpg?k=04d90c8ca8c6876bec8440e6b5d699d1,5,Rúa Francisco Catoira -  Os Mallos-A Falperra
160,318000,3,Chalet ,https://www.indomio.es/anuncios/94809547/,Sada (A Coruña),Venta,,,8,Camiño Praia de Cirro
180,516000,3,Casa unifamiliar,https://www.indomio.es/anuncios/95220801/,Ribeira,Venta,,,7,Rúa Norte -  Palmeiras
200,50000,2,Casa adosada,https://www.indomio.es/anuncios/91152505/,Pontedeume,Venta,,,9,Rúa Porto
4,990000,3,Edificio ,https://www.indomio.es/anuncios/95776463/,Albacete,Venta | Alquiler con opción a compra,,https://media.indomio.es/text/tel_95776463_aa0da.jpg?k=d519032e2900c108fc9dab6fefcc1764,7,Carretera de Jaén
200,128000,2,Casa adosada ,https://www.indomio.es/anuncios/92892641/,Albacete,Venta,,https://media.indomio.es/text/tel_92892641_f0bdc.jpg?k=1e820d093f1f12c4ab95c18880a12976,6,Calle Salvador Gimeno -  Pedanías y Barrios Rurales
235,200000,3,Chalet ,https://www.indomio.es/anuncios/92460041/,La Roda,Venta,,,8,Calle Almansa
188,495000,3,Chalet ,https://www.indomio.es/anuncios/94463359/,Ribeira,Venta | Inmueble con ingresos,,https://media.indomio.es/text/tel_94463359_7f205.jpg?k=625adcb40090a67512be832807159288,6,Rúa Norte -  Palmeiras
100,167000,2,Piso ,https://www.indomio.es/anuncios/93976991/,Pontedeume,Venta,,https://media.indomio.es/text/tel_93976991_5751b.jpg?k=62447d58f3c54c166d83f62974e4cd4d,6,Rúa Fontenova
160,298000,3,Casa unifamiliar ,https://www.indomio.es/anuncios/95464985/,Sada (A Coruña),Venta,,,8,Camiño Praia de Cirro
237,420000,2,Casa unifamiliar,https://www.indomio.es/anuncios/95226813/,Porto Do Son,Venta,,,5,Parada
2,120000,,Casa unifamiliar ,https://www.indomio.es/anuncios/95939101/,Pontedeume,Venta,,https://media.indomio.es/text/tel_95939101_96532.jpg?k=4c1dfd5cbfdc52a1dd667287dc247e67,,A Graña
280,320000,3,Casa unifamiliar ,https://www.indomio.es/anuncios/93997361/,Albacete,Venta,,,7,Calle Luis Herreros -  Fátima-Franciscanos
578,190000,,Edificio ,https://www.indomio.es/anuncios/95378955/,Ayala - Aiara,Venta | Alquiler con opción a compra,,https://media.indomio.es/text/tel_95378955_41129.jpg?k=cd16a7188d800b4e0f8cafe41738b88f,,Entidad Quejana
75,239000,1,Ático ,https://www.indomio.es/anuncios/95424071/,Vitoria - Gasteiz,Venta,,https://media.indomio.es/text/tel_95424071_00b22.jpg?k=bfc57e617468f480e9a8ed95d2fcc26e,3,Calle de Pintor Aurelio Vera-Fajardo -  San Martín
100,135000,2,Piso ,https://www.indomio.es/anuncios/94469373/,Albacete,Venta,,https://media.indomio.es/text/tel_94469373_42a9a.jpg?k=29b529905646e684e501d7c833d99c8c,5,Calle Arquitecto Vandelvira -  Fátima-Franciscanos
213,250000,2,Casa rústica ,https://www.indomio.es/anuncios/91014567/,Ortigueira,Venta | Inmueble con ingresos,,,6,Susaído
100,130000,1,Casa rústica ,https://www.indomio.es/anuncios/95039561/,O Pino,Venta,,https://media.indomio.es/text/tel_95039561_50858.jpg?k=a2bcc472e157efdbf99c986fd086a1e3,4,San Migueliño
187,469000,2,Casa adosada ,https://www.indomio.es/anuncios/95734945/,Vitoria - Gasteiz,Venta,,https://media.indomio.es/text/tel_95734945_56169.jpg?k=5b723e34c52ea1bec2b7b3994869bde0,7, Mendizorrotza
115,160000,2,Piso ,https://www.indomio.es/anuncios/95281839/,Noia,Venta | Alquiler con opción a compra,,,6,Rúa Fray Luis Rodríguez
592,399500,3,Casa unifamiliar ,https://www.indomio.es/anuncios/94998369/,Noia,Venta,,https://media.indomio.es/text/tel_94998369_8adc4.jpg?k=0dfcf60cfdb99265fbfc88bd6d9e18dd,8,AC-550
140,98000,1,Casa unifamiliar ,https://www.indomio.es/anuncios/88961093/,Moeche,Venta,,,3,A Igrexa
1,350000,3,Casa unifamiliar ,https://www.indomio.es/anuncios/95590639/,Miño,Venta | Inmueble con ingresos,Juan Perez ,https://media.indomio.es/text/tel_95590639_7610b.jpg?k=a77e92b619d2395999de71698ad6fd10,8,Rúa A Carreira
77,145000,1,Piso ,https://www.indomio.es/anuncios/88580445/,Llodio - Laudio,Venta,,,5,Calle Ugarte
160,158400,2,Piso ,https://www.indomio.es/anuncios/92527023/,Fisterra,Venta,,,9,Rúa Ara Solís
65,78700,1,Piso ,https://www.indomio.es/anuncios/93594153/,Fisterra,Venta,,https://media.indomio.es/text/tel_93594153_318df.jpg?k=c6d3434a29827677d97007b8a92ff1a6,3,Lugar Anchoa
250,120000,1,Casa unifamiliar ,https://www.indomio.es/anuncios/92888613/,Fene,Venta,Sonia Lopez Marcote,https://media.indomio.es/text/tel_92888613_0f3e3.jpg?k=7434f3ea59200603b7bb3cea83ad1ea0,5,Estrada do Peirao
500,350000,2,Casa rústica ,https://www.indomio.es/anuncios/91300653/,Corcubión,Venta,,,7,Praza Párroco Francisco Sánchez
93,196000,1,Piso ,https://www.indomio.es/anuncios/91656473/,Vitoria - Gasteiz,Venta,,,4,Calle Paula Montal -  Sansomendi
200,127000,2,Casa rústica ,https://www.indomio.es/anuncios/94776783/,Cerdido,Venta,,https://media.indomio.es/text/tel_94776783_63a25.jpg?k=2833768a9b3b80813ff500481d3d7582,6,Xiao
60,70000,2,Casa unifamiliar ,https://www.indomio.es/anuncios/95791621/,Cerdido,Venta,,https://media.indomio.es/text/tel_95791621_a28db.jpg?k=8714e644549c5174a0cbd2141a9f55f4,5,Lugar Felgosas
160,220000,1,Casa unifamiliar,https://www.indomio.es/anuncios/95812389/,Cariño,Venta,,https://media.indomio.es/text/tel_95812389_f393f.jpg?k=80a0e84b84d92bcee1777a7b3865aecb,5,Rúa Balbís
320,950000,,Edificio,https://www.indomio.es/anuncios/95934549/,Albacete,Venta | Alquiler con opción a compra,,https://media.indomio.es/text/tel_95934549_76918.jpg?k=4c038cdf600a19e9e3c8fd919151aa3e,,Calle Francisco Pizarro
80,130000,1,Casa adosada ,https://www.indomio.es/anuncios/95783713/,Cabana de Bergantiños,Venta,,,3,Sinde
420,220000,2,Chalet ,https://www.indomio.es/anuncios/95953031/,Cedeira,Venta,,,7,Cordobelas
350,389900,3,Chalet ,https://www.indomio.es/anuncios/94491905/,Bergondo,Venta,,https://media.indomio.es/text/tel_94491905_e542b.jpg?k=53ba23f7e95ca9f6aaa2da1ff7f11458,11,Estrada de Casal a San Isidro
144,39000,,Casa adosada ,https://www.indomio.es/anuncios/95896997/,As Somozas,Venta,,,5,Cabalar
255,56000,1,Casa rústica,https://www.indomio.es/anuncios/91610343/,As Somozas,Venta,,,5,O Freixeiro
175,165000,1,Piso ,https://www.indomio.es/anuncios/95085951/,Boiro,Venta,,https://media.indomio.es/text/tel_95085951_7368b.jpg?k=b01b50e14f63d3f4577116eace165fde,3,Avenida Barraña
150,130000,2,Piso ,https://www.indomio.es/anuncios/95393411/,Boiro,Venta,,https://media.indomio.es/text/tel_95393411_9a8fb.jpg?k=faf54bf0c24d013017623c31cae6d2ef,4,Lugar Escarabote
349,410000,2,Casa unifamiliar ,https://www.indomio.es/anuncios/94809577/,Arteixo,Venta | Inmueble con ingresos,,https://media.indomio.es/text/tel_94809577_28d0d.jpg?k=42aba0ca8c8b1aafe6f521f5a2a852f8,7,Branquenza -  Loureda-Lañas-Barrañán
76,135000,2,Piso ,https://www.indomio.es/anuncios/94884975/,Ares,Venta,,,5,Rúa Concepción Arenal
160,285000,3,Ático ,https://www.indomio.es/anuncios/79483119/,Ferrol,Venta | Alquiler con opción a compra,Maria de la O,,8,Rúa Doutor Rey Romalde -  Canido
290,314000,3,Casa plurifamiliar ,https://www.indomio.es/anuncios/82577657/,Albacete,Venta,Antonio Gómez,https://media.indomio.es/text/tel_82577657_10112.jpg?k=b428c9a39d4947efd96093c57a4b861d,8,Calle Cristóbal Pérez Pastor -  Pedanías y Barrios Rurales
113,135000,2,Piso,https://www.indomio.es/anuncios/94757599/,Albacete,Venta,,https://media.indomio.es/text/tel_94757599_94bad.jpg?k=0a5383fe9ea6fb77b49d38b8a1e1e799,6,Plaza de San Juan de Dios -  Fátima-Franciscanos
109,195000,2,Piso ,https://www.indomio.es/anuncios/91953307/,Albacete,Venta,,https://media.indomio.es/text/tel_91953307_ca3bf.jpg?k=f466d5dcc8b17f1b4bcfdc4b63caa2ac,5,Calle Blasco Ibáñez -  Centro-Villacerrada-Pajarita
120,180000,2,Piso,https://www.indomio.es/anuncios/91686781/,Albacete,Venta,,,7,Calle Blasco de Garay -  Fátima-Franciscanos
14,195000,1,Casa rústica ,https://www.indomio.es/anuncios/93588041/,Albatera,Venta | Inmueble con ingresos,,,4,Partida La Dehesa
150,200000,2,Chalet,https://www.indomio.es/anuncios/93923523/,Xaló,Venta,,https://media.indomio.es/text/tel_93923523_b1b2c.jpg?k=e9968f7a94e20015099b737df67bdab9,6,Carretera Bèrnia
109,150000,2,Piso ,https://www.indomio.es/anuncios/92776759/,Ondara,Venta,,https://media.indomio.es/text/tel_92776759_08cb5.jpg?k=efb1333ebcce49b8bbd252a57ab50438,5,Calle Germanías
300,65000,2,Edificio,https://www.indomio.es/anuncios/91091831/,Torremanzanas - La Torre de les Maçanes,Venta,,https://media.indomio.es/text/tel_91091831_e0d1c.jpg?k=a98af1f0ecb473ee98d735cfffa9b931,7,Camino de Jijona
120,178000,2,Ático ,https://www.indomio.es/anuncios/95295883/,Ondara,Venta,,,5,Calle Gonzalo Ortolá
232,995000,2,Chalet,https://www.indomio.es/anuncios/89669329/,Orihuela,Venta,,,5,Cabo Roig-La Zenia-La Regia - Calle Carriles -  Cabo Roig-La Zenia-La Regia
113,112000,2,Piso,https://www.indomio.es/anuncios/94054259/,San Isidro,Venta,,https://media.indomio.es/text/tel_94054259_7b445.jpg?k=428b2baf5a435f3c814668bebdb7760d,5,Calle Lo Gallego
77,144000,2,Piso ,https://www.indomio.es/anuncios/92635437/,San Vicente del Raspeig - Sant Vicent del Raspeig,Venta,,,5,Avenida Ancha de Castelar -  Alcalde Felipe Mallol
140,139000,2,Casa rústica ,https://www.indomio.es/anuncios/93977029/,Salinas,Venta,,https://media.indomio.es/text/tel_93977029_1c672.jpg?k=451384746a12862ac304e6573d65c2db,6,CV-830
250,185000,3,Casa unifamiliar ,https://www.indomio.es/anuncios/93939477/,Sax,Venta,,https://media.indomio.es/text/tel_93939477_ee8c3.jpg?k=74bda2f5400ad8a12623d46c5e49f2f5,7,Calle Fray Luis de Granada
100,135000,1,Casa adosada ,https://www.indomio.es/anuncios/90086267/,San Vicente del Raspeig - Sant Vicent del Raspeig,Venta,,,4,Calle Montoyos -  Centro
240,640000,3,Casa rústica ,https://www.indomio.es/anuncios/91024625/,Teulada,Venta,,,7,Camino de San Miguel -  Núcleo
325,375000,3,Dúplex,https://www.indomio.es/anuncios/93747195/,San Vicente del Raspeig - Sant Vicent del Raspeig,Venta,,,8,Calle Gabriel Miró -  Centro
85,298000,2,Ático ,https://www.indomio.es/anuncios/95241007/,Sant Joan d'Alacant,Venta,,,5,Calle de los Naranjos
100,165000,2,Piso ,https://www.indomio.es/anuncios/91373027/,Villajoyosa - La Vila Joiosa,Venta,,https://media.indomio.es/text/tel_91373027_43e0e.jpg?k=de586bdda2ebe493a728abdebbdea4d0,5,Calle Nueve de Octubre -  Montíboli-Playa El Paraíso
450,2120000,3,Casa rústica ,https://www.indomio.es/anuncios/92229831/,Relleu,Venta | Alquiler con opción a compra,,,8,Casa rústica
225,300000,2,Chalet ,https://www.indomio.es/anuncios/95360509/,San Vicente del Raspeig - Sant Vicent del Raspeig,Venta,walr m,https://media.indomio.es/text/tel_95360509_dca8e.jpg?k=e95f213f702c62242f32b3b9b6f37209,7,Partida Raspeig Polígono J -  Los Girasoles
210,499000,,Chalet ,https://www.indomio.es/anuncios/95339461/,Pedreguer,Venta,,https://media.indomio.es/text/tel_95339461_d4b09.jpg?k=acbfbbbd67736918d2cbabbad9254246,5,Calle del Camp de Morvedre
300,380000,2,Casa unifamiliar ,https://www.indomio.es/anuncios/94715435/,San Vicente del Raspeig - Sant Vicent del Raspeig,Venta,,,6,Calle Setena -  Villamontes-Boqueres
119,139900,2,Piso ,https://www.indomio.es/anuncios/92708067/,Petrer,Venta,,https://media.indomio.es/text/tel_92708067_b0ea4.jpg?k=3c76a35c63b6ebc1195692e1efc90bba,7,Avenida Elda
65,48000,1,Piso,https://www.indomio.es/anuncios/95201117/,Orihuela,Venta,,https://media.indomio.es/text/tel_95201117_487dc.jpg?k=ed0caf202d121114aa8d1dcf66bcef76,4,Travesía La Armengola -  Núcleo Urbano
107,178000,1,Piso ,https://www.indomio.es/anuncios/93382405/,Villajoyosa - La Vila Joiosa,Venta,,https://media.indomio.es/text/tel_93382405_f4573.jpg?k=0c71c1979be199912c58cc8046ee5846,4,Calle Plan P. Paraíso -  Montíboli-Playa El Paraíso
40,89000,1,Piso ,https://www.indomio.es/anuncios/93565581/,Mutxamel,Venta,,https://media.indomio.es/text/tel_93565581_b7140.jpg?k=312a802b41badd217c19700861afbdde,2,Calle Elche -  Centro
240,890000,2,Chalet ,https://www.indomio.es/anuncios/95113963/,Mutxamel,Venta,,https://media.indomio.es/text/tel_95113963_ee4f5.jpg?k=3dfabf5e971be0072ec0f5d5095a5909,5, nueva
80,175000,2,Piso ,https://www.indomio.es/anuncios/95015907/,Villajoyosa - La Vila Joiosa,Venta,,https://media.indomio.es/text/tel_95015907_3f081.jpg?k=6d22992d3a7165f07752f0210fb52ece,4,Calle Barberes -  Casco Antiguo-Playa de Villajoyosa-Zona Puerto
102,220000,2,Ático ,https://www.indomio.es/anuncios/95621139/,Mutxamel,Venta,,https://media.indomio.es/text/tel_95621139_4af13.jpg?k=6be5baab6f6e24ff8c15c58863476555,5,Calle del Yeso -  Valle del Sol - Rio Park
206,398000,3,Chalet ,https://www.indomio.es/anuncios/94366333/,La Nucia,Venta,,,8,Calle la Nucía -  Coloma
130,460000,2,Ático ,https://www.indomio.es/anuncios/95033333/,Villajoyosa - La Vila Joiosa,Venta,,https://media.indomio.es/text/tel_95033333_cb178.jpg?k=55d1d99ae97a6bef6b102d39d50d8150,5,Calle Siroco -  Cala de Villajoyosa
130,179000,2,Piso ,https://www.indomio.es/anuncios/95275617/,Santa Pola,Venta,,,6,Calle Canalejas -  Centre-Port-Platja Llevant
60,54000,1,Piso ,https://www.indomio.es/anuncios/95121683/,Jijona - Xixona,Venta,,https://media.indomio.es/text/tel_95121683_d6cd0.jpg?k=b83264166f4267ca1e21c8ca088e0f2b,5,Calle San Vicente
240,650000,3,Casa unifamiliar ,https://www.indomio.es/anuncios/94110803/,L'Alfàs del Pi,Venta,,https://media.indomio.es/text/tel_94110803_cc565.jpg?k=1feaca32e429144692f0a8347d43af75,8, Urbanizaciones
108,120000,2,Piso ,https://www.indomio.es/anuncios/93987337/,Ibi,Venta,Carmen  Molina,https://media.indomio.es/text/tel_93987337_ad473.jpg?k=2799abc5e3dda614c20b298ab4193b8f,5,Calle de Santa Rita
95,137000,2,Piso ,https://www.indomio.es/anuncios/94392745/,Pilar de la Horadada,Venta,,,5,Carrer Benito Pérez Galdós -  Núcleo
70,72000,1,Piso ,https://www.indomio.es/anuncios/94447583/,Guardamar del Segura,Venta,,https://media.indomio.es/text/tel_94447583_05903.jpg?k=e1ae21f7dd15fafbbdd44b86f64d98dc,4,Calle Crevillente -  Centro
64,140000,1,Piso ,https://www.indomio.es/anuncios/93550115/,Pilar de la Horadada,Venta,,https://media.indomio.es/text/tel_93550115_2cfec.jpg?k=d9c4981cf5d1f45ac17ead32f35895c7,3,Calle Pío XII -  Núcleo
90,120000,2,Piso,https://www.indomio.es/anuncios/95203253/,Elche - Elx,Venta,,https://media.indomio.es/text/tel_95203253_dd350.jpg?k=5f26bd735c61222888e39b5d236b22fb,4,Carrús Est-Camí dels Magros - Calle Esperidión Porta Requesens -  Carrús Est-Camí dels Magros
151,160000,2,Piso ,https://www.indomio.es/anuncios/95783797/,Polop,Venta,,https://media.indomio.es/text/tel_95783797_69274.jpg?k=3cf623b318fbbb973d7374655bbc85a7,5,Calle Gabriel Miró
109,69900,1,Piso ,https://www.indomio.es/anuncios/95335289/,Elche - Elx,Venta,,,5,Carrús Est-Camí dels Magros - Calle Carlos Antón Pastor -  Carrús Est-Camí dels Magros
60,43000,1,Piso ,https://www.indomio.es/anuncios/92956207/,Elda,Venta,,https://media.indomio.es/text/tel_92956207_a3533.jpg?k=b7be3a5de0dcb19d6606128b3585a614,5,Calle La Reina -  Plaza de Toros - Avenida Chapí - Trinquete
123,439000,3,Chalet ,https://www.indomio.es/anuncios/94827807/,Finestrat,Venta,calin sas,https://media.indomio.es/text/tel_94827807_c8109.jpg?k=bc8b9f199aadb47506d058db62fc444a,6,Calle Cuenca
65,85000,1,Ático ,https://www.indomio.es/anuncios/91079371/,Torrevieja,Venta,,https://media.indomio.es/text/tel_91079371_057c2.jpg?k=10799fc9314f30da81ceca5f33ed7d0e,4,Calle Bergantín -  Playa del Cura
160,179500,2,Piso ,https://www.indomio.es/anuncios/95178439/,Elche - Elx,Venta | Inmueble con ingresos,,https://media.indomio.es/text/tel_95178439_e824b.jpg?k=3a9920c9f5974339c4647e79f59afefb,6,Pont Nou - Calle Vicente Blasco Ibáñez -  Pont Nou
160,55000,1,Piso ,https://www.indomio.es/anuncios/94476695/,Dolores,Venta,,,4,Plaza Cardenal Beluga
90,79500,1,Piso ,https://www.indomio.es/anuncios/95258219/,Elche - Elx,Venta,,,6,Carrús Est-Camí dels Magros - Calle Diagonal -  Carrús Est-Camí dels Magros
110,76000,1,Piso ,https://www.indomio.es/anuncios/94985493/,Elche - Elx,Venta,,https://media.indomio.es/text/tel_94985493_5e3e0.jpg?k=134b94751ad886fee3e4eeda4e90dbfa,5,Carrús Est-Camí dels Magros - Calle Camino de los Magros -  Carrús Est-Camí dels Magros
168,144000,2,Piso ,https://www.indomio.es/anuncios/76793919/,El Verger,Venta,,,7, primera planta
85,64900,1,Piso ,https://www.indomio.es/anuncios/90983181/,Elda,Venta,Virginia Pastorini,https://media.indomio.es/text/tel_90983181_1fbf4.jpg?k=909945119c76460e4a93ace49d8277ed,4,Calle Venus -  Centro
240,600000,2,Chalet ,https://www.indomio.es/anuncios/95747029/,L'Alfàs del Pi,Venta,,https://media.indomio.es/text/tel_95747029_c95d4.jpg?k=b956a18033d487bc5acb0e443489efd7,5,Camino Viejo del Faro -  L'Albir
90,190000,2,Casa pareada ,https://www.indomio.es/anuncios/95824381/,El Campello,Venta | Inmueble con ingresos,,https://media.indomio.es/text/tel_95824381_45dab.jpg?k=b893243c88716859f268f69379780dfe,5,Calle Pla del Amerador -  La Almadraba-Coveta Fumà-Amerador
125,295000,2,Casa pareada ,https://www.indomio.es/anuncios/95296971/,El Campello,Venta,,https://media.indomio.es/text/tel_95296971_5cdf3.jpg?k=3b093b9f9f74a6bad3f16e8a679cf4bd,5,Calle Pla del Amerador -  La Almadraba-Coveta Fumà-Amerador
144,240000,2,Casa adosada ,https://www.indomio.es/anuncios/92403199/,La Nucia,Venta,,https://media.indomio.es/text/tel_92403199_14d35.jpg?k=8ed557f8454d1d180522cf4fe2031653,5,Calle Bruselas -  El Tossal-Bello Horizonte
70,149000,1,Casa adosada ,https://www.indomio.es/anuncios/93641751/,Santa Pola,Venta,,,4, Gran Alacant
95,139000,2,Dúplex ,https://www.indomio.es/anuncios/95501541/,Elche - Elx,Venta,,,5,Pont Nou - Avenida Libertad -  Pont Nou
