meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
50,380,1,Piso ,https://www.indomio.es/anuncios/94273021/,Alcázar de San Juan,Alquiler,,,3,Calle Crudo
90,400,1,Piso ,https://www.indomio.es/anuncios/95851203/,Tomelloso,Alquiler,,https://media.indomio.es/text/tel_95851203_3667d.jpg?k=d5623f1028f3c953c9b1ef01e89ddbf0,4,Calle del Campo
100,800,1,Piso ,https://www.indomio.es/anuncios/90982933/,Ciudad Real,Alquiler,,,5,Calle de la Mata -  El Torreón-El Pilar-Los Ángeles-Nuevo Parque
78,500,2,Piso,https://www.indomio.es/anuncios/92188921/,Ciudad Real,Alquiler,,https://media.indomio.es/text/tel_92188921_abf64.jpg?k=6d6d29b8df88cd369edaff82b92de3d4,6,Calle Conde de la Cañada -  El Torreón-El Pilar-Los Ángeles-Nuevo Parque
110,650,2,Dúplex ,https://www.indomio.es/anuncios/95440955/,Ciudad Real,Alquiler,,,6,Calle Cardenal Lorenzana -  El Perchel-Puerta de Toledo-Atalaya
77,500,2,Dúplex ,https://www.indomio.es/anuncios/87096657/,Ciudad Real,Alquiler,,https://media.indomio.es/text/tel_87096657_8b3a2.jpg?k=cd1a6c524e9c4ddf1d5726075c21dba4,4,Calle Extremadura -  El Torreón-El Pilar-Los Ángeles-Nuevo Parque
60,380,1,Piso ,https://www.indomio.es/anuncios/90916081/,Ciudad Real,Alquiler,,,3,Calle Argamasilla de Alba -  Nuevo Hospital-Larache
140,700,2,Piso ,https://www.indomio.es/anuncios/95916975/,Ciudad Real,Alquiler,,https://media.indomio.es/text/tel_95916975_95d55.jpg?k=46425ab59bb629eba77935d71dc26ba1,7,Calle de Quevedo -  El Torreón-El Pilar-Los Ángeles-Nuevo Parque
130,700,2,Piso ,https://www.indomio.es/anuncios/93641271/,Puertollano,Alquiler,,https://media.indomio.es/text/tel_93641271_2600f.jpg?k=fdd2b3697a4b2c82ee2cd0f76bfe919d,7,Paseo de San Gregorio -  Santa Ana
