meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
70,1430,2,Casa adosada ,https://www.indomio.es/anuncios/95489155/,La Oliva,Alquiler,,,6,Calle Anzuelo -  Lajares
59,550,1,Ático,https://www.indomio.es/anuncios/93462857/,Telde,Alquiler,,,2,Calle Paraguay
90,700,1,Piso ,https://www.indomio.es/anuncios/90691940/,Agüimes,Alquiler,,,3,Calle Duque de Osuna -  Playa de Arinaga
160,1600,3,Piso ,https://www.indomio.es/anuncios/93914763/,Las Palmas de Gran Canaria,Alquiler,,,7,Avenida Rafael Cabrera -  Centro
61,850,1,Piso ,https://www.indomio.es/anuncios/93550009/,Las Palmas de Gran Canaria,Alquiler,,,4,Calle Concejal García Feo -  Puerto Canteras
110,900,2,Piso,https://www.indomio.es/anuncios/95783719/,Las Palmas de Gran Canaria,Alquiler,,https://media.indomio.es/text/tel_95783719_ff40f.jpg?k=91d2e2f282b9d3978323f745130f2d8a,5,Calle Luis Benítez Inglott -  Ciudad Alta
250,2000,3,Ático ,https://www.indomio.es/anuncios/91339667/,Las Palmas de Gran Canaria,Alquiler,,,8,Calle Bogotá -  Ciudad Alta
65,700,1,Piso,https://www.indomio.es/anuncios/95269373/,Las Palmas de Gran Canaria,Alquiler,,,3,Calle General Mas de Gaminde -  Centro
100,600,1,Piso ,https://www.indomio.es/anuncios/95046743/,Las Palmas de Gran Canaria,Alquiler,,https://media.indomio.es/text/tel_95046743_2a593.jpg?k=26232f45793481cfb2e0a71edbd42aed,4,Calle Puerto Rico -  Puerto Canteras
80,1300,1,Piso ,https://www.indomio.es/anuncios/95959783/,San Bartolomé de Tirajana,Alquiler,,,4,Avenida de Gáldar -  San Fernando
